directorio,secuencia_p,orden,fex_per,ide16,ide5,ide14__1,ide14__2,ide14__3,ide14__4,ide14__5,ide14__6,ide14_2,ide14_3,ide15__1,ide15__2,ide15__3,ide15__4,ide15__5,ide15__6,ide15__7,ide15__8,ide9,ch5__1,ch5__2,ch5__3,ch5__4,ch5__5,ch5__6,ch5__7,ch5__8,ch6,estado,mpio,sm1,sm2,sm3,sm4,sm14,mi27,mi27_1,sm5,sm6,sm7,sm8,sm15,sm16__1,sm16__2,sm16__3,sm16__4,sm16__5,sm16__6,sm17,sd1,ml17,ml18,ml20,sd2,sd3,sd4,sd5,ml21,ml15,ml16__1,ml16__2,ml16__3,ml16__4,ml16__5,ml16__6,ml16__7,ml32__1,ml32__2,ml32__3,ml32__4,ml32__5,ml32__6,ml32__7,ml32__8,ml5,ml6,ml7,ml3_19,ml3_18,ml31,ir7,pd1,pd2,pd3__1,pd3__2,pd3__3,pd3__4,pd3__5,pd3__6,pd3__7,pd3__8,pd3__9,pd3__10,pd3__11,pd4,pd5,pd6,pd7,ide10
7511657,1,2,16.85609272146463,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,1,1,0,0,0,3,19,1910,2022,4,2022,4,6,1,,2,1,8.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,,2.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,2.0,1.0,1.0,22.0,2,2,2,,,,,,,,,,,,,2,1,4,1,2
7511657,1,3,17.46647012168404,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,6.0,,,,,,,,,1,0,1,1,0,0,0,0,0,3,19,1910,2022,4,2022,4,5,1,,2,1,2.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,1,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,2,2,2,,,,,,,,,,,,,2,4,4,1,1
7511886,1,1,25.28423268872364,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,2,0,0,0,1,0,0,0,0,2,1,101,2020,2,2020,2,6,2,,2,1,8.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1.0,,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,1.0,1.0,65.0,1,2,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,4,3,2
7511886,1,2,167.7813025388027,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,1,0,0,0,1,0,0,0,0,2,1,101,2020,2,2020,2,6,2,,2,1,8.0,,1,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1.0,,2,2,,,1,2,,,,,,,,,,,,,,,,1,5.0,2.0,1.0,91.0,1,2,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,4,4,2
7512035,1,4,174.3563341651072,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,3.0,,,,,,,,,2,0,0,0,1,0,1,0,0,3,25,2513,2020,1,2020,1,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,1,1.0,,1,2,,,,,,,,,,,,,,,,1,4.0,1.0,1.0,48.0,1,2,2,,,,,,,,,,,,,2,2,4,7,2
7512035,1,5,174.3563341651072,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,3.0,,,,,,,,,2,0,0,1,0,0,1,0,0,3,25,2513,2020,1,2020,1,6,4,,1,1,7.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,1,1.0,,4,2,,,,,,,,,,,,,,,,4,,,,,2,2,2,,,,,,,,,,,,,1,2,3,7,3
7512385,1,5,7.275188970028691,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,1,0,0,0,0,0,1,0,0,1,12,1206,2018,6,2023,1,5,2,,1,1,4.0,,1,1.0,1.0,0.0,0.0,0.0,0.0,2,3,1,1.0,,2,1,1.0,,5,2,,,,,,,,,,,,,,,,5,,,,,2,2,2,,,,,,,,,,,,,2,3,4,1,2
7512611,1,1,29.24247552756369,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2024.0,2.0,,,,,,,,,1,0,0,0,1,1,1,0,0,2,1,101,2018,5,2018,5,6,2,,1,4,,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,4,1,1.0,,2,1,2.0,8.0,1,2,,,,,,,,,,,,,,,,1,5.0,2.0,1.0,50.0,1,2,2,,,,,,,,,,,,,2,4,1,4,2
7512611,1,2,20.3409826696925,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,1.0,,,,,,,,,2,0,0,0,1,1,1,0,0,2,1,101,2018,3,2025,2,6,2,,1,1,2.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,4,,,,,2,2,1,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,4,2
7512611,1,3,68.89060328559451,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,4.0,,,,,,,,,2,0,1,0,1,1,0,0,0,3,16,1621,2017,1,2017,7,6,2,,2,1,4.0,,1,0.0,0.0,0.0,1.0,0.0,0.0,2,3,1,1.0,,2,1,1.0,,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,4,,,,,1,2,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3,1,4,2
